Event order;case;event;startTime;completeTime;Concept drift;Activity name;Role;Department;Cost;Amount
5672;499;L;2019/01/17 13:54:38;2019/01/17 13:54:38;Yes;Send acceptance pack;Insurance Agent;Credit Department;5.410304882;18648.767
5673;500;E;2019/01/17 13:55:47;2019/01/17 13:55:47;Yes;Assess loan risk;Credit Analyst;Credit Department;10.97734708;19360.72235
5674;499;M;2019/01/17 13:59:38;2019/01/17 13:59:38;Yes;Verify repayment agreement;Loan Officer;Credit Department;9.937164497;18648.767
5675;501;A;2019/01/17 14:00:00;2019/01/17 14:00:00;Yes;Check application form completeness;Loan Officer;Credit Department;9.526287697;21267.01153
5676;500;G;2019/01/17 14:00:40;2019/01/17 14:00:40;Yes;Assess eligibility;Risk Manager;Credit Department;19.58874001;19360.72235
5677;501;B;2019/01/17 14:04:49;2019/01/17 14:04:49;Yes;Return application back to applicant;Loan Officer;Credit Department;5.82535961;21267.01153
5678;499;N;2019/01/17 14:04:55;2019/01/17 14:04:55;Yes;Cancel application;Loan Officer;Credit Department;9.969222683;18648.767
5679;500;I;2019/01/17 14:06:15;2019/01/17 14:06:15;Yes;Prepare acceptance pack;Loan Officer;Credit Department;11.10079254;19360.72235
5680;501;C;2019/01/17 14:09:14;2019/01/17 14:09:14;Yes;Receive updated application;Loan Officer;Credit Department;7.838930283;21267.01153
5681;500;J;2019/01/17 14:10:44;2019/01/17 14:10:44;Yes;Check if home insurance quote is requested;Insurance Agent;Credit Department;9.913157753;19360.72235
5682;501;A;2019/01/17 14:14:50;2019/01/17 14:14:50;Yes;Check application form completeness;Loan Officer;Credit Department;11.56444407;21267.01153
5683;500;K;2019/01/17 14:15:24;2019/01/17 14:15:24;Yes;Send home insurance quote;Insurance Agent;Credit Department;8.878399082;19360.72235
5684;500;M;2019/01/17 14:19:55;2019/01/17 14:19:55;Yes;Verify repayment agreement;Loan Officer;Credit Department;8.546299113;19360.72235
5685;502;A;2019/01/17 14:20:00;2019/01/17 14:20:00;Yes;Check application form completeness;Loan Officer;Credit Department;6.674949109;19746.36628
5686;501;D;2019/01/17 14:20:29;2019/01/17 14:20:29;Yes;Check credit history;Credit Analyst;Credit Department;15.8481204;21267.01153
5687;500;N;2019/01/17 14:24:56;2019/01/17 14:24:56;Yes;Cancel application;Loan Officer;Credit Department;9.531008719;19360.72235
5688;502;D;2019/01/17 14:25:05;2019/01/17 14:25:05;Yes;Check credit history;Credit Analyst;Credit Department;17.08659851;19746.36628
5689;501;F;2019/01/17 14:25:13;2019/01/17 14:25:13;Yes;Appraise property;Appraiser;Credit Department;24.01022418;21267.01153
5690;501;E;2019/01/17 14:29:57;2019/01/17 14:29:57;Yes;Assess loan risk;Credit Analyst;Credit Department;8.372518027;21267.01153
5691;502;F;2019/01/17 14:29:58;2019/01/17 14:29:58;Yes;Appraise property;Appraiser;Credit Department;24.21191919;19746.36628
5692;502;E;2019/01/17 14:34:32;2019/01/17 14:34:32;Yes;Assess loan risk;Credit Analyst;Credit Department;9.278724059;19746.36628
5693;501;G;2019/01/17 14:35:05;2019/01/17 14:35:05;Yes;Assess eligibility;Risk Manager;Credit Department;19.34435447;21267.01153
5694;502;G;2019/01/17 14:39:40;2019/01/17 14:39:40;Yes;Assess eligibility;Risk Manager;Credit Department;20.55820774;19746.36628
5695;501;H;2019/01/17 14:39:50;2019/01/17 14:39:50;Yes;Reject application;Loan Officer;Credit Department;8.552195691;21267.01153
5696;503;A;2019/01/17 14:40:00;2019/01/17 14:40:00;Yes;Check application form completeness;Loan Officer;Credit Department;11.1976402;19184.6545
5697;502;I;2019/01/17 14:44:26;2019/01/17 14:44:26;Yes;Prepare acceptance pack;Loan Officer;Credit Department;9.663506732;19746.36628
5698;503;D;2019/01/17 14:45:24;2019/01/17 14:45:24;Yes;Check credit history;Credit Analyst;Credit Department;14.6794074;19184.6545
5699;502;J;2019/01/17 14:48:53;2019/01/17 14:48:53;Yes;Check if home insurance quote is requested;Insurance Agent;Credit Department;10.2432114;19746.36628
5700;503;F;2019/01/17 14:50:33;2019/01/17 14:50:33;Yes;Appraise property;Appraiser;Credit Department;25.84798509;19184.6545
5701;502;L;2019/01/17 14:53:10;2019/01/17 14:53:10;Yes;Send acceptance pack;Insurance Agent;Credit Department;6.604917148;19746.36628
5702;503;E;2019/01/17 14:56:04;2019/01/17 14:56:04;Yes;Assess loan risk;Credit Analyst;Credit Department;10.28877325;19184.6545
5703;502;M;2019/01/17 14:57:53;2019/01/17 14:57:53;Yes;Verify repayment agreement;Loan Officer;Credit Department;10.7285634;19746.36628
5704;504;A;2019/01/17 15:00:00;2019/01/17 15:00:00;Yes;Check application form completeness;Loan Officer;Credit Department;10.68904581;20601.99116
5705;503;G;2019/01/17 15:00:56;2019/01/17 15:00:56;Yes;Assess eligibility;Risk Manager;Credit Department;15.86708734;19184.6545
5706;502;N;2019/01/17 15:03:26;2019/01/17 15:03:26;Yes;Cancel application;Loan Officer;Credit Department;9.259933314;19746.36628
5707;504;B;2019/01/17 15:05:15;2019/01/17 15:05:15;Yes;Return application back to applicant;Loan Officer;Credit Department;7.087575688;20601.99116
5708;503;I;2019/01/17 15:05:51;2019/01/17 15:05:51;Yes;Prepare acceptance pack;Loan Officer;Credit Department;13.06290318;19184.6545
5709;504;C;2019/01/17 15:10:39;2019/01/17 15:10:39;Yes;Receive updated application;Loan Officer;Credit Department;7.867016528;20601.99116
5710;503;J;2019/01/17 15:10:40;2019/01/17 15:10:40;Yes;Check if home insurance quote is requested;Insurance Agent;Credit Department;9.912748409;19184.6545
5711;504;A;2019/01/17 15:15:16;2019/01/17 15:15:16;Yes;Check application form completeness;Loan Officer;Credit Department;11.10093996;20601.99116
5712;503;L;2019/01/17 15:16:42;2019/01/17 15:16:42;Yes;Send acceptance pack;Insurance Agent;Credit Department;6.613573845;19184.6545
5713;505;A;2019/01/17 15:20:00;2019/01/17 15:20:00;Yes;Check application form completeness;Loan Officer;Credit Department;8.79736286;21684.08452
5714;504;D;2019/01/17 15:20:35;2019/01/17 15:20:35;Yes;Check credit history;Credit Analyst;Credit Department;13.94004893;20601.99116
5715;503;M;2019/01/17 15:21:34;2019/01/17 15:21:34;Yes;Verify repayment agreement;Loan Officer;Credit Department;8.73182299;19184.6545
5716;504;F;2019/01/17 15:25:31;2019/01/17 15:25:31;Yes;Appraise property;Appraiser;Credit Department;22.78524442;20601.99116
5717;505;D;2019/01/17 15:25:31;2019/01/17 15:25:31;Yes;Check credit history;Credit Analyst;Credit Department;14.35500221;21684.08452
5718;503;O;2019/01/17 15:26:54;2019/01/17 15:26:54;Yes;Approve application;Loan Officer;Credit Department;15.46360881;19184.6545
5719;504;E;2019/01/17 15:29:58;2019/01/17 15:29:58;Yes;Assess loan risk;Credit Analyst;Credit Department;9.954253943;20601.99116
5720;505;F;2019/01/17 15:30:10;2019/01/17 15:30:10;Yes;Appraise property;Appraiser;Credit Department;29.8745469;21684.08452
5721;505;E;2019/01/17 15:35:15;2019/01/17 15:35:15;Yes;Assess loan risk;Credit Analyst;Credit Department;10.07972217;21684.08452
5722;504;G;2019/01/17 15:35:43;2019/01/17 15:35:43;Yes;Assess eligibility;Risk Manager;Credit Department;18.85192833;20601.99116
5723;504;I;2019/01/17 15:39:38;2019/01/17 15:39:38;Yes;Prepare acceptance pack;Loan Officer;Credit Department;12.53604637;20601.99116
5724;506;A;2019/01/17 15:40:00;2019/01/17 15:40:00;Yes;Check application form completeness;Loan Officer;Credit Department;11.29487396;20199.77558
5725;505;G;2019/01/17 15:40:45;2019/01/17 15:40:45;Yes;Assess eligibility;Risk Manager;Credit Department;15.66437111;21684.08452
5726;504;J;2019/01/17 15:44:40;2019/01/17 15:44:40;Yes;Check if home insurance quote is requested;Insurance Agent;Credit Department;10.05356116;20601.99116
5727;506;D;2019/01/17 15:45:25;2019/01/17 15:45:25;Yes;Check credit history;Credit Analyst;Credit Department;12.89730474;20199.77558
5728;505;H;2019/01/17 15:46:11;2019/01/17 15:46:11;Yes;Reject application;Loan Officer;Credit Department;14.20868457;21684.08452
5729;504;L;2019/01/17 15:50:08;2019/01/17 15:50:08;Yes;Send acceptance pack;Insurance Agent;Credit Department;7.029888149;20601.99116
5730;506;F;2019/01/17 15:50:34;2019/01/17 15:50:34;Yes;Appraise property;Appraiser;Credit Department;25.6368049;20199.77558
5731;506;E;2019/01/17 15:54:57;2019/01/17 15:54:57;Yes;Assess loan risk;Credit Analyst;Credit Department;8.452107925;20199.77558
5732;504;M;2019/01/17 15:55:28;2019/01/17 15:55:28;Yes;Verify repayment agreement;Loan Officer;Credit Department;9.752658163;20601.99116
5733;504;O;2019/01/17 15:59:48;2019/01/17 15:59:48;Yes;Approve application;Loan Officer;Credit Department;12.78388788;20601.99116
5734;507;A;2019/01/17 16:00:00;2019/01/17 16:00:00;Yes;Check application form completeness;Loan Officer;Credit Department;7.385861213;20477.42519
5735;506;G;2019/01/17 16:00:06;2019/01/17 16:00:06;Yes;Assess eligibility;Risk Manager;Credit Department;18.42413169;20199.77558
5736;507;B;2019/01/17 16:04:43;2019/01/17 16:04:43;Yes;Return application back to applicant;Loan Officer;Credit Department;6.918733633;20477.42519
5737;506;I;2019/01/17 16:05:52;2019/01/17 16:05:52;Yes;Prepare acceptance pack;Loan Officer;Credit Department;10.12976051;20199.77558
5738;507;C;2019/01/17 16:09:48;2019/01/17 16:09:48;Yes;Receive updated application;Loan Officer;Credit Department;7.064236907;20477.42519
5739;506;J;2019/01/17 16:11:23;2019/01/17 16:11:23;Yes;Check if home insurance quote is requested;Insurance Agent;Credit Department;9.618700581;20199.77558
5740;507;A;2019/01/17 16:14:11;2019/01/17 16:14:11;Yes;Check application form completeness;Loan Officer;Credit Department;7.43689446;20477.42519
5741;506;L;2019/01/17 16:17:04;2019/01/17 16:17:04;Yes;Send acceptance pack;Insurance Agent;Credit Department;3.871552605;20199.77558
5742;507;B;2019/01/17 16:18:29;2019/01/17 16:18:29;Yes;Return application back to applicant;Loan Officer;Credit Department;6.934937164;20477.42519
5743;508;A;2019/01/17 16:20:00;2019/01/17 16:20:00;Yes;Check application form completeness;Loan Officer;Credit Department;14.150254;19263.09989
5744;507;C;2019/01/17 16:22:40;2019/01/17 16:22:40;Yes;Receive updated application;Loan Officer;Credit Department;8.203880471;20477.42519
5745;506;M;2019/01/17 16:23:16;2019/01/17 16:23:16;Yes;Verify repayment agreement;Loan Officer;Credit Department;9.708278647;20199.77558
5746;508;D;2019/01/17 16:25:01;2019/01/17 16:25:01;Yes;Check credit history;Credit Analyst;Credit Department;13.55528741;19263.09989
5747;507;A;2019/01/17 16:28:18;2019/01/17 16:28:18;Yes;Check application form completeness;Loan Officer;Credit Department;10.4276898;20477.42519
5748;506;O;2019/01/17 16:28:40;2019/01/17 16:28:40;Yes;Approve application;Loan Officer;Credit Department;16.15155558;20199.77558
5749;508;F;2019/01/17 16:29:50;2019/01/17 16:29:50;Yes;Appraise property;Appraiser;Credit Department;21.76704543;19263.09989
5750;507;B;2019/01/17 16:33:35;2019/01/17 16:33:35;Yes;Return application back to applicant;Loan Officer;Credit Department;5.658055333;20477.42519
5751;508;E;2019/01/17 16:34:31;2019/01/17 16:34:31;Yes;Assess loan risk;Credit Analyst;Credit Department;8.714820782;19263.09989
5752;507;C;2019/01/17 16:39:00;2019/01/17 16:39:00;Yes;Receive updated application;Loan Officer;Credit Department;7.33540338;20477.42519
5753;508;G;2019/01/17 16:39:43;2019/01/17 16:39:43;Yes;Assess eligibility;Risk Manager;Credit Department;13.22248716;19263.09989
5754;509;A;2019/01/17 16:40:00;2019/01/17 16:40:00;Yes;Check application form completeness;Loan Officer;Credit Department;9.80946508;21251.86948
5755;508;H;2019/01/17 16:44:13;2019/01/17 16:44:13;Yes;Reject application;Loan Officer;Credit Department;11.07546225;19263.09989
5756;507;A;2019/01/17 16:44:15;2019/01/17 16:44:15;Yes;Check application form completeness;Loan Officer;Credit Department;4.802262681;20477.42519
5757;509;B;2019/01/17 16:45:40;2019/01/17 16:45:40;Yes;Return application back to applicant;Loan Officer;Credit Department;6.348596906;21251.86948
5758;507;B;2019/01/17 16:49:20;2019/01/17 16:49:20;Yes;Return application back to applicant;Loan Officer;Credit Department;6.661201479;20477.42519
5759;509;C;2019/01/17 16:50:37;2019/01/17 16:50:37;Yes;Receive updated application;Loan Officer;Credit Department;8.388264699;21251.86948
5760;507;C;2019/01/17 16:53:20;2019/01/17 16:53:20;Yes;Receive updated application;Loan Officer;Credit Department;8.433112888;20477.42519
5761;509;A;2019/01/17 16:55:53;2019/01/17 16:55:53;Yes;Check application form completeness;Loan Officer;Credit Department;7.869060921;21251.86948
5762;507;A;2019/01/17 16:58:25;2019/01/17 16:58:25;Yes;Check application form completeness;Loan Officer;Credit Department;11.48042306;20477.42519
5763;510;A;2019/01/17 17:00:00;2019/01/17 17:00:00;Yes;Check application form completeness;Loan Officer;Credit Department;7.452339737;20544.66635
5764;509;D;2019/01/17 17:00:50;2019/01/17 17:00:50;Yes;Check credit history;Credit Analyst;Credit Department;14.07784086;21251.86948
5765;507;B;2019/01/17 17:03:47;2019/01/17 17:03:47;Yes;Return application back to applicant;Loan Officer;Credit Department;7.06612951;20477.42519
5766;510;D;2019/01/17 17:04:17;2019/01/17 17:04:17;Yes;Check credit history;Credit Analyst;Credit Department;15.04797459;20544.66635
5767;509;F;2019/01/17 17:05:06;2019/01/17 17:05:06;Yes;Appraise property;Appraiser;Credit Department;20.65809142;21251.86948
5768;507;C;2019/01/17 17:08:55;2019/01/17 17:08:55;Yes;Receive updated application;Loan Officer;Credit Department;6.291410902;20477.42519
5769;510;F;2019/01/17 17:09:28;2019/01/17 17:09:28;Yes;Appraise property;Appraiser;Credit Department;25.01260061;20544.66635
5770;509;E;2019/01/17 17:09:46;2019/01/17 17:09:46;Yes;Assess loan risk;Credit Analyst;Credit Department;9.290804577;21251.86948
5771;507;A;2019/01/17 17:13:15;2019/01/17 17:13:15;Yes;Check application form completeness;Loan Officer;Credit Department;11.31180769;20477.42519
5772;510;E;2019/01/17 17:13:53;2019/01/17 17:13:53;Yes;Assess loan risk;Credit Analyst;Credit Department;10.12608893;20544.66635
5773;509;G;2019/01/17 17:15:12;2019/01/17 17:15:12;Yes;Assess eligibility;Risk Manager;Credit Department;14.97057541;21251.86948
5774;507;B;2019/01/17 17:18:00;2019/01/17 17:18:00;Yes;Return application back to applicant;Loan Officer;Credit Department;5.946735371;20477.42519
5775;510;G;2019/01/17 17:19:23;2019/01/17 17:19:23;Yes;Assess eligibility;Risk Manager;Credit Department;18.91683902;20544.66635
5776;509;H;2019/01/17 17:19:58;2019/01/17 17:19:58;Yes;Reject application;Loan Officer;Credit Department;7.940846707;21251.86948
5777;511;A;2019/01/17 17:20:00;2019/01/17 17:20:00;Yes;Check application form completeness;Loan Officer;Credit Department;9.900816725;18998.04994
5778;507;C;2019/01/17 17:22:48;2019/01/17 17:22:48;Yes;Receive updated application;Loan Officer;Credit Department;9.303811795;20477.42519
5779;510;I;2019/01/17 17:24:27;2019/01/17 17:24:27;Yes;Prepare acceptance pack;Loan Officer;Credit Department;11.09833218;20544.66635
5780;511;B;2019/01/17 17:25:02;2019/01/17 17:25:02;Yes;Return application back to applicant;Loan Officer;Credit Department;6.740421368;18998.04994
5781;507;A;2019/01/17 17:27:54;2019/01/17 17:27:54;Yes;Check application form completeness;Loan Officer;Credit Department;11.27896122;20477.42519
5782;511;C;2019/01/17 17:29:15;2019/01/17 17:29:15;Yes;Receive updated application;Loan Officer;Credit Department;10.35323603;18998.04994
5783;510;J;2019/01/17 17:29:54;2019/01/17 17:29:54;Yes;Check if home insurance quote is requested;Insurance Agent;Credit Department;8.483220229;20544.66635
5784;507;B;2019/01/17 17:32:49;2019/01/17 17:32:49;Yes;Return application back to applicant;Loan Officer;Credit Department;4.138687152;20477.42519
5785;511;A;2019/01/17 17:33:17;2019/01/17 17:33:17;Yes;Check application form completeness;Loan Officer;Credit Department;10.92914941;18998.04994
5786;510;K;2019/01/17 17:34:38;2019/01/17 17:34:38;Yes;Send home insurance quote;Insurance Agent;Credit Department;9.70743475;20544.66635
5787;507;C;2019/01/17 17:37:09;2019/01/17 17:37:09;Yes;Receive updated application;Loan Officer;Credit Department;8.48177448;20477.42519
5788;511;D;2019/01/17 17:38:25;2019/01/17 17:38:25;Yes;Check credit history;Credit Analyst;Credit Department;12.43125401;18998.04994
5789;510;M;2019/01/17 17:39:40;2019/01/17 17:39:40;Yes;Verify repayment agreement;Loan Officer;Credit Department;7.366608214;20544.66635
5790;512;A;2019/01/17 17:40:00;2019/01/17 17:40:00;Yes;Check application form completeness;Loan Officer;Credit Department;7.212752209;19409.48372
5791;507;A;2019/01/17 17:42:30;2019/01/17 17:42:30;Yes;Check application form completeness;Loan Officer;Credit Department;8.525677353;20477.42519
5792;511;F;2019/01/17 17:43:17;2019/01/17 17:43:17;Yes;Appraise property;Appraiser;Credit Department;25.18971941;18998.04994
5793;510;N;2019/01/17 17:44:27;2019/01/17 17:44:27;Yes;Cancel application;Loan Officer;Credit Department;7.400282297;20544.66635
5794;512;D;2019/01/17 17:45:13;2019/01/17 17:45:13;Yes;Check credit history;Credit Analyst;Credit Department;11.11127237;19409.48372
5795;507;B;2019/01/17 17:47:04;2019/01/17 17:47:04;Yes;Return application back to applicant;Loan Officer;Credit Department;7.075602868;20477.42519
5796;511;E;2019/01/17 17:48:27;2019/01/17 17:48:27;Yes;Assess loan risk;Credit Analyst;Credit Department;11.71842336;18998.04994
5797;512;F;2019/01/17 17:50:28;2019/01/17 17:50:28;Yes;Appraise property;Appraiser;Credit Department;24.84075005;19409.48372
5798;507;C;2019/01/17 17:51:44;2019/01/17 17:51:44;Yes;Receive updated application;Loan Officer;Credit Department;8.455536227;20477.42519
5799;511;G;2019/01/17 17:53:51;2019/01/17 17:53:51;Yes;Assess eligibility;Risk Manager;Credit Department;19.61640545;18998.04994
5800;512;E;2019/01/17 17:55:03;2019/01/17 17:55:03;Yes;Assess loan risk;Credit Analyst;Credit Department;8.215589346;19409.48372
5801;507;A;2019/01/17 17:57:16;2019/01/17 17:57:16;Yes;Check application form completeness;Loan Officer;Credit Department;8.632411201;20477.42519
5802;511;I;2019/01/17 17:57:53;2019/01/17 17:57:53;Yes;Prepare acceptance pack;Loan Officer;Credit Department;7.031282176;18998.04994
5803;512;G;2019/01/17 17:59:38;2019/01/17 17:59:38;Yes;Assess eligibility;Risk Manager;Credit Department;19.25523685;19409.48372
5804;513;A;2019/01/17 18:00:00;2019/01/17 18:00:00;Yes;Check application form completeness;Loan Officer;Credit Department;10.0560561;18347.44948
5805;507;B;2019/01/17 18:02:51;2019/01/17 18:02:51;Yes;Return application back to applicant;Loan Officer;Credit Department;6.908923995;20477.42519
5806;511;J;2019/01/17 18:03:09;2019/01/17 18:03:09;Yes;Check if home insurance quote is requested;Insurance Agent;Credit Department;8.424948915;18998.04994
5807;512;H;2019/01/17 18:05:35;2019/01/17 18:05:35;Yes;Reject application;Loan Officer;Credit Department;7.451256776;19409.48372
5808;513;B;2019/01/17 18:06:09;2019/01/17 18:06:09;Yes;Return application back to applicant;Loan Officer;Credit Department;4.771919554;18347.44948
5809;511;L;2019/01/17 18:07:54;2019/01/17 18:07:54;Yes;Send acceptance pack;Insurance Agent;Credit Department;5.506902595;18998.04994
5810;507;C;2019/01/17 18:08:08;2019/01/17 18:08:08;Yes;Receive updated application;Loan Officer;Credit Department;8.492715936;20477.42519
5811;513;C;2019/01/17 18:10:33;2019/01/17 18:10:33;Yes;Receive updated application;Loan Officer;Credit Department;8.760229932;18347.44948
5812;511;M;2019/01/17 18:12:37;2019/01/17 18:12:37;Yes;Verify repayment agreement;Loan Officer;Credit Department;8.218351921;18998.04994
5813;507;A;2019/01/17 18:13:28;2019/01/17 18:13:28;Yes;Check application form completeness;Loan Officer;Credit Department;11.39664806;20477.42519
5814;513;A;2019/01/17 18:15:44;2019/01/17 18:15:44;Yes;Check application form completeness;Loan Officer;Credit Department;12.07767653;18347.44948
5815;511;N;2019/01/17 18:18:03;2019/01/17 18:18:03;Yes;Cancel application;Loan Officer;Credit Department;9.394293504;18998.04994
5816;507;B;2019/01/17 18:19:26;2019/01/17 18:19:26;Yes;Return application back to applicant;Loan Officer;Credit Department;6.424310811;20477.42519
5817;514;A;2019/01/17 18:20:00;2019/01/17 18:20:00;Yes;Check application form completeness;Loan Officer;Credit Department;11.65613635;20276.24632
5818;513;B;2019/01/17 18:21:05;2019/01/17 18:21:05;Yes;Return application back to applicant;Loan Officer;Credit Department;8.143730624;18347.44948
5819;507;C;2019/01/17 18:24:36;2019/01/17 18:24:36;Yes;Receive updated application;Loan Officer;Credit Department;8.23608182;20477.42519
5820;514;D;2019/01/17 18:24:59;2019/01/17 18:24:59;Yes;Check credit history;Credit Analyst;Credit Department;15.13035099;20276.24632
5821;513;C;2019/01/17 18:25:49;2019/01/17 18:25:49;Yes;Receive updated application;Loan Officer;Credit Department;8.297158894;18347.44948
5822;507;A;2019/01/17 18:28:56;2019/01/17 18:28:56;Yes;Check application form completeness;Loan Officer;Credit Department;10.99124297;20477.42519
5823;514;F;2019/01/17 18:29:02;2019/01/17 18:29:02;Yes;Appraise property;Appraiser;Credit Department;26.10592223;20276.24632
5824;513;A;2019/01/17 18:30:27;2019/01/17 18:30:27;Yes;Check application form completeness;Loan Officer;Credit Department;12.91935595;18347.44948
5825;507;D;2019/01/17 18:33:47;2019/01/17 18:33:47;Yes;Check credit history;Credit Analyst;Credit Department;14.94222662;20477.42519
5826;514;E;2019/01/17 18:34:30;2019/01/17 18:34:30;Yes;Assess loan risk;Credit Analyst;Credit Department;10.88205409;20276.24632
5827;513;B;2019/01/17 18:36:02;2019/01/17 18:36:02;Yes;Return application back to applicant;Loan Officer;Credit Department;5.815271687;18347.44948
5828;507;F;2019/01/17 18:38:11;2019/01/17 18:38:11;Yes;Appraise property;Appraiser;Credit Department;25.37947679;20477.42519
5829;514;G;2019/01/17 18:39:34;2019/01/17 18:39:34;Yes;Assess eligibility;Risk Manager;Credit Department;15.53991194;20276.24632
5830;515;A;2019/01/17 18:40:00;2019/01/17 18:40:00;Yes;Check application form completeness;Loan Officer;Credit Department;12.17016155;20353.51713
5831;513;C;2019/01/17 18:41:59;2019/01/17 18:41:59;Yes;Receive updated application;Loan Officer;Credit Department;8.707149587;18347.44948
5832;507;E;2019/01/17 18:42:33;2019/01/17 18:42:33;Yes;Assess loan risk;Credit Analyst;Credit Department;9.582118587;20477.42519
5833;514;H;2019/01/17 18:44:26;2019/01/17 18:44:26;Yes;Reject application;Loan Officer;Credit Department;8.924378363;20276.24632
5834;515;D;2019/01/17 18:44:51;2019/01/17 18:44:51;Yes;Check credit history;Credit Analyst;Credit Department;13.44614576;20353.51713
5835;513;A;2019/01/17 18:47:09;2019/01/17 18:47:09;Yes;Check application form completeness;Loan Officer;Credit Department;12.54447317;18347.44948
5836;507;G;2019/01/17 18:47:17;2019/01/17 18:47:17;Yes;Assess eligibility;Risk Manager;Credit Department;16.46529503;20477.42519
5837;515;F;2019/01/17 18:49:50;2019/01/17 18:49:50;Yes;Appraise property;Appraiser;Credit Department;19.91219862;20353.51713
5838;513;B;2019/01/17 18:51:32;2019/01/17 18:51:32;Yes;Return application back to applicant;Loan Officer;Credit Department;6.261989204;18347.44948
5839;507;I;2019/01/17 18:52:03;2019/01/17 18:52:03;Yes;Prepare acceptance pack;Loan Officer;Credit Department;11.86290459;20477.42519
5840;515;E;2019/01/17 18:54:33;2019/01/17 18:54:33;Yes;Assess loan risk;Credit Analyst;Credit Department;10.77412642;20353.51713
5841;513;C;2019/01/17 18:55:56;2019/01/17 18:55:56;Yes;Receive updated application;Loan Officer;Credit Department;7.814927782;18347.44948
5842;507;J;2019/01/17 18:56:34;2019/01/17 18:56:34;Yes;Check if home insurance quote is requested;Insurance Agent;Credit Department;13.58316043;20477.42519
5843;515;G;2019/01/17 18:59:41;2019/01/17 18:59:41;Yes;Assess eligibility;Risk Manager;Credit Department;19.83987972;20353.51713
5844;516;A;2019/01/17 19:00:00;2019/01/17 19:00:00;Yes;Check application form completeness;Loan Officer;Credit Department;12.4396152;18784.66692
5845;513;A;2019/01/17 19:01:01;2019/01/17 19:01:01;Yes;Check application form completeness;Loan Officer;Credit Department;12.19150716;18347.44948
5846;507;L;2019/01/17 19:02:02;2019/01/17 19:02:02;Yes;Send acceptance pack;Insurance Agent;Credit Department;5.365857835;20477.42519
5847;516;D;2019/01/17 19:04:01;2019/01/17 19:04:01;Yes;Check credit history;Credit Analyst;Credit Department;17.21734052;18784.66692
5848;515;I;2019/01/17 19:05:07;2019/01/17 19:05:07;Yes;Prepare acceptance pack;Loan Officer;Credit Department;12.05590101;20353.51713
5849;513;D;2019/01/17 19:05:12;2019/01/17 19:05:12;Yes;Check credit history;Credit Analyst;Credit Department;16.52684692;18347.44948
5850;507;M;2019/01/17 19:05:56;2019/01/17 19:05:56;Yes;Verify repayment agreement;Loan Officer;Credit Department;9.43643364;20477.42519
5851;516;F;2019/01/17 19:09:30;2019/01/17 19:09:30;Yes;Appraise property;Appraiser;Credit Department;28.25488248;18784.66692
5852;515;J;2019/01/17 19:10:11;2019/01/17 19:10:11;Yes;Check if home insurance quote is requested;Insurance Agent;Credit Department;7.684653628;20353.51713
5853;513;F;2019/01/17 19:10:51;2019/01/17 19:10:51;Yes;Appraise property;Appraiser;Credit Department;22.48569403;18347.44948
5854;507;O;2019/01/17 19:10:52;2019/01/17 19:10:52;Yes;Approve application;Loan Officer;Credit Department;14.97604789;20477.42519
5855;516;E;2019/01/17 19:13:49;2019/01/17 19:13:49;Yes;Assess loan risk;Credit Analyst;Credit Department;10.58020679;18784.66692
5856;515;L;2019/01/17 19:15:15;2019/01/17 19:15:15;Yes;Send acceptance pack;Insurance Agent;Credit Department;6.469885463;20353.51713
5857;513;E;2019/01/17 19:15:33;2019/01/17 19:15:33;Yes;Assess loan risk;Credit Analyst;Credit Department;9.768962749;18347.44948
5858;516;G;2019/01/17 19:18:37;2019/01/17 19:18:37;Yes;Assess eligibility;Risk Manager;Credit Department;21.10887589;18784.66692
5859;515;M;2019/01/17 19:19:59;2019/01/17 19:19:59;Yes;Verify repayment agreement;Loan Officer;Credit Department;11.58145075;20353.51713
5860;517;A;2019/01/17 19:20:00;2019/01/17 19:20:00;Yes;Check application form completeness;Loan Officer;Credit Department;10.22003942;20811.26968
5861;513;G;2019/01/17 19:20:52;2019/01/17 19:20:52;Yes;Assess eligibility;Risk Manager;Credit Department;16.48318282;18347.44948
5862;516;H;2019/01/17 19:24:25;2019/01/17 19:24:25;Yes;Reject application;Loan Officer;Credit Department;11.34083813;18784.66692
5863;517;B;2019/01/17 19:25:34;2019/01/17 19:25:34;Yes;Return application back to applicant;Loan Officer;Credit Department;6.355836721;20811.26968
5864;515;N;2019/01/17 19:25:47;2019/01/17 19:25:47;Yes;Cancel application;Loan Officer;Credit Department;12.18318565;20353.51713
5865;513;I;2019/01/17 19:25:56;2019/01/17 19:25:56;Yes;Prepare acceptance pack;Loan Officer;Credit Department;12.88270354;18347.44948
5866;513;J;2019/01/17 19:31:01;2019/01/17 19:31:01;Yes;Check if home insurance quote is requested;Insurance Agent;Credit Department;9.959625517;18347.44948
5867;517;C;2019/01/17 19:31:05;2019/01/17 19:31:05;Yes;Receive updated application;Loan Officer;Credit Department;8.563266416;20811.26968
5868;517;A;2019/01/17 19:35:03;2019/01/17 19:35:03;Yes;Check application form completeness;Loan Officer;Credit Department;10.0370718;20811.26968
5869;513;K;2019/01/17 19:36:45;2019/01/17 19:36:45;Yes;Send home insurance quote;Insurance Agent;Credit Department;9.604252219;18347.44948
